Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
XGRA: Extreme G Racing Association,PS2,2003,Acclaim Entertainment,0.03,0.02,0.01
College Slam,PS,1995,Acclaim Entertainment,0.1,0.07,0.01
Forsaken,PS,1998,Acclaim Entertainment,0.13,0.09,0.02
Bust-A-Move 4,PS,1998,Acclaim Entertainment,0.12,0.08,0.01
Re-Volt,PS,1998,Acclaim Entertainment,0.11,0.07,0.01
NFL Quarterback Club 2000,N64,1999,Acclaim Entertainment,0.37,0.03,0
All-Star Baseball 2004,GC,2003,Acclaim Entertainment,0.06,0.02,0
XGRA: Extreme G Racing Association,GC,2003,Acclaim Entertainment,0.02,0,0
Jeremy McGrath Supercross 2000,PS,2000,Acclaim Entertainment,0.4,0.27,0.05
Street Fighter: The Movie,PS,1995,Acclaim Entertainment,0.1,0.07,0.01
Shadow Man,PS,1998,Acclaim Entertainment,0.14,0.09,0.02
SX Superstar,XB,2003,Acclaim Entertainment,0.03,0.01,0
Bust-A-Move 2 Arcade Edition,PS,1995,Acclaim Entertainment,0.11,0.07,0.01
X-Men: Children of the Atom,SAT,1995,Acclaim Entertainment,0,0,0
NBA Jam Tournament Edition,PS,1995,Acclaim Entertainment,0.14,0.09,0.02
Dakar 2: The World's Ultimate Rally,XB,2003,Acclaim Entertainment,0.02,0,0
Iggy's Reckin' Balls,N64,1998,Acclaim Entertainment,0.06,0.02,0
NHL Breakaway 99,N64,1998,Acclaim Entertainment,0.07,0.01,0
All-Star Baseball 2004,GBA,2003,Acclaim Entertainment,0.05,0.02,0
NBA Jam Extreme,PS,1996,Acclaim Entertainment,0.12,0.08,0.01
WWF War Zone,N64,1998,Acclaim Entertainment,1.08,0.24,0.02
Jeremy McGrath Supercross 98,PS,1998,Acclaim Entertainment,0.91,0.1,0.03
Gladiator: Sword of Vengeance,XB,2003,Acclaim Entertainment,0.04,0.01,0
Speed Kings,XB,2003,Acclaim Entertainment,0.04,0.01,0
Burnout 2: Point of Impact,GC,2003,Acclaim Entertainment,0.12,0.03,0
NBA Jam,XB,2003,Acclaim Entertainment,0.1,0.03,0
BMX XXX,XB,2002,Acclaim Entertainment,0.08,0.02,0
NFL Quarterback Club 97,PS,1996,Acclaim Entertainment,0.12,0.08,0.01
South Park,PS,1998,Acclaim Entertainment,0.39,0.27,0.05
Armorines: Project S.W.A.R.M.,N64,1999,Acclaim Entertainment,0.21,0.05,0
Legends of Wrestling,XB,2002,Acclaim Entertainment,0.1,0.03,0
WWF Attitude,PS,1998,Acclaim Entertainment,1.27,0.42,0.07
BMX XXX,PS2,2002,Acclaim Entertainment,0.07,0.06,0.02
All-Star Baseball 2003,GBA,2002,Acclaim Entertainment,0.11,0.04,0
NFL Quarterback Club 99,N64,1998,Acclaim Entertainment,0.59,0.02,0
All-Star Baseball 2003,GC,2002,Acclaim Entertainment,0.12,0.03,0
Shadow Man: 2econd Coming,PS2,2002,Acclaim Entertainment,0.08,0.06,0.02
Shadow Man,N64,1999,Acclaim Entertainment,0.18,0.08,0.01
Alien Trilogy,PS,1996,Acclaim Entertainment,0.24,0.16,0.03
NBA Jam 2002,GBA,2002,Acclaim Entertainment,0.08,0.03,0
Bust-A-Move '99,PS,1997,Acclaim Entertainment,0.18,0.12,0.02
Turok: Evolution,GBA,2002,Acclaim Entertainment,0.08,0.03,0
Legends of Wrestling II,GC,2002,Acclaim Entertainment,0.09,0.02,0
Jeremy McGrath Supercross World,GC,2002,Acclaim Entertainment,0.09,0.02,0
Legends of Wrestling II,XB,2002,Acclaim Entertainment,0.09,0.03,0
Burnout,XB,2002,Acclaim Entertainment,0.09,0.03,0
18 Wheeler: American Pro Trucker,GC,2002,Acclaim Entertainment,0.09,0.02,0
South Park,N64,1998,Acclaim Entertainment,0.9,0.23,0.02
Burnout 2: Point of Impact,XB,2003,Acclaim Entertainment,0.18,0.05,0.01
South Park: Chef's Luv Shack,N64,1999,Acclaim Entertainment,0.19,0.05,0
WWF in Your House,PS,1996,Acclaim Entertainment,0.35,0.24,0.04
WWF Attitude,N64,1999,Acclaim Entertainment,0.57,0.13,0.01
Riven: The Sequel to Myst,PS,1997,Acclaim Entertainment,0.18,0.12,0.02
Bust-A-Move 2 Arcade Edition,N64,1997,Acclaim Entertainment,0.06,0.02,0
Legends of Wrestling,GC,2002,Acclaim Entertainment,0.1,0.03,0
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003,Acclaim Entertainment,0.17,0.04,0.01
Space Jam,PS,1996,Acclaim Entertainment,0.51,0.35,0.06
WWF War Zone,PS,1998,Acclaim Entertainment,2.47,0.76,0.13
XGRA: Extreme G Racing Association,XB,2003,Acclaim Entertainment,0.02,0,0
ZooCube,GBA,2002,Acclaim Entertainment,0.03,0.01,0
Showdown: Legends of Wrestling,PS2,2004,Acclaim Entertainment,0.15,0.11,0.04
Extreme-G: XG2,N64,1998,Acclaim Entertainment,0.31,0.07,0
All-Star Baseball 2003,XB,2002,Acclaim Entertainment,0.19,0.06,0.01
Baldur's Gate: Dark Alliance II,XB,2004,Acclaim Entertainment,0.19,0.06,0.01
Punch King,GBA,2002,Acclaim Entertainment,0.03,0.01,0
Batman Forever: The Arcade Game,PS,1996,Acclaim Entertainment,0.02,0.01,0
South Park Rally,PS,1998,Acclaim Entertainment,0.2,0.13,0.02
Speed Kings,GC,2003,Acclaim Entertainment,0.01,0,0
DragonHeart: Fire & Steel,PS,1996,Acclaim Entertainment,0.02,0.01,0
NHL Breakaway 98,N64,1998,Acclaim Entertainment,0.3,0.02,0
Bust-A-Move '99,N64,1998,Acclaim Entertainment,0.05,0.01,0
All-Star Baseball 2004,XB,2003,Acclaim Entertainment,0.1,0.03,0
Turok: Rage Wars,N64,1999,Acclaim Entertainment,0.3,0.06,0
ATV Quad Power Racing 2,GC,2003,Acclaim Entertainment,0.22,0.06,0.01
WWF Wrestlemania: The Arcade Game,PS,1995,Acclaim Entertainment,0.03,0.02,0
Magic: The Gathering - Battlemage,PS,1997,Acclaim Entertainment,0.07,0.05,0.01
Extreme-G,N64,1997,Acclaim Entertainment,0.47,0.11,0.01
Psychic Force,PS,1996,Acclaim Entertainment,0.01,0.01,0.01
Iron & Blood,PS,1996,Acclaim Entertainment,0.08,0.05,0.01
Frank Thomas Big Hurt Baseball,PS,1996,Acclaim Entertainment,0.08,0.05,0.01
NHL Breakaway 98,PS,1996,Acclaim Entertainment,0.08,0.05,0.01
Vexx,PS2,2003,Acclaim Entertainment,0.12,0.09,0.03
Jeremy McGrath Supercross 2000,N64,1999,Acclaim Entertainment,0.23,0.06,0
Re-Volt,N64,1999,Acclaim Entertainment,0.14,0.04,0
Iron Man / X-O Manowar in Heavy Metal,PS,1996,Acclaim Entertainment,0.05,0.03,0.01
Summer Heat Beach Volleyball,PS2,2003,Acclaim Entertainment,0.14,0.11,0.04
South Park: Chef's Luv Shack,PS,1998,Acclaim Entertainment,0.17,0.12,0.02
Killing Zone,PS,1996,Acclaim Entertainment,0.03,0.02,0
Mary-Kate and Ashley: Girls Night Out,GBA,2002,Acclaim Entertainment,0.15,0.05,0
Legends of Wrestling II,GBA,2002,Acclaim Entertainment,0.05,0.02,0
All-Star Baseball 99,N64,1998,Acclaim Entertainment,0.44,0.04,0
BMX XXX,GC,2002,Acclaim Entertainment,0.05,0.01,0
Aggressive Inline,XB,2002,Acclaim Entertainment,0.05,0.01,0
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002,Acclaim Entertainment,0.11,0.08,0.03
Aggressive Inline,GC,2002,Acclaim Entertainment,0.04,0.01,0
Vanishing Point,PS,2001,Acclaim Entertainment,0.06,0.04,0.01
NFL QB Club 2001,N64,2000,Acclaim Entertainment,0.11,0.01,0
Dead or Alive 2,DC,2000,Acclaim Entertainment,0,0,0
RC Revenge Pro,PS2,2000,Acclaim Entertainment,0.08,0.06,0.02
Paris-Dakar Rally,PS2,2001,Acclaim Entertainment,0.08,0.06,0.02
XGIII: Extreme G Racing,GC,2001,Acclaim Entertainment,0.12,0.03,0
Mortal Kombat 3,SNES,1994,Acclaim Entertainment,1.19,0.29,0.05
NBA Jam,SNES,1994,Acclaim Entertainment,1.19,0.16,0.03
Mortal Kombat 3,GEN,1994,Acclaim Entertainment,1.03,0.27,0.04
NBA Jam Tournament Edition,GEN,1994,Acclaim Entertainment,0.95,0.14,0.03
Dave Mirra Freestyle BMX,PS,2000,Acclaim Entertainment,0.91,0.11,0.03
Mary-Kate and Ashley: Winners Circle,PS,2001,Acclaim Entertainment,0.08,0.05,0.01
Fur Fighters: Viggo's Revenge,PS2,2001,Acclaim Entertainment,0.07,0.05,0.02
Mary-Kate and Ashley: Crush Course,PS,2001,Acclaim Entertainment,0.08,0.05,0.01
Armorines: Project S.W.A.R.M.,PS,2000,Acclaim Entertainment,0.05,0.03,0.01
ATV: Quad Power Racing,PS,2000,Acclaim Entertainment,0.58,0.39,0.07
Turok 3: Shadow of Oblivion,N64,2000,Acclaim Entertainment,0.12,0.05,0
South Park Rally,N64,2000,Acclaim Entertainment,0.16,0.04,0
HBO Boxing,PS,2000,Acclaim Entertainment,0.12,0.08,0.01
Galactic Attack,SAT,1994,Acclaim Entertainment,0,0,0
Blast Lacrosse,PS,2001,Acclaim Entertainment,0.03,0.02,0
ECW Hardcore Revolution,N64,2000,Acclaim Entertainment,0.18,0.04,0
All-Star Baseball 2001,N64,2000,Acclaim Entertainment,0.22,0.01,0
McGrath Vs. Pastrana Freestyle Motocross,PS,2000,Acclaim Entertainment,0.14,0.1,0.02
Jupiter Strike,PS,1994,Acclaim Entertainment,0.06,0.04,0.01
Super Bust-A-Move,PS2,2000,Acclaim Entertainment,0.17,0.13,0.04
NFL Quarterback Club 2002,GC,2001,Acclaim Entertainment,0.04,0.01,0
Jeremy McGrath Supercross World,PS2,2001,Acclaim Entertainment,0.11,0.09,0.03
Burnout,PS2,2001,Acclaim Entertainment,0.36,0.28,0.1
Legends of Wrestling,PS2,2001,Acclaim Entertainment,0.37,0.29,0.1
Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,Acclaim Entertainment,0.36,0.24,0.04
All-Star Baseball 2002,PS2,2001,Acclaim Entertainment,0.27,0.21,0.07
Crazy Taxi,GC,2001,Acclaim Entertainment,0.36,0.09,0.01
18 Wheeler: American Pro Trucker,PS2,2001,Acclaim Entertainment,0.2,0.15,0.05
Dave Mirra Freestyle BMX 2,PS2,2001,Acclaim Entertainment,0.67,0.53,0.18
Crazy Taxi,PS2,2001,Acclaim Entertainment,1.13,1.12,0.22
Dave Mirra Freestyle BMX 2,GC,2001,Acclaim Entertainment,0.21,0.06,0.01
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Acclaim Entertainment,0.15,0.1,0.02
XGIII: Extreme G Racing,PS2,2001,Acclaim Entertainment,0.13,0.1,0.03
Mortal Kombat,PC,1994,Acclaim Entertainment,0.02,0,0
Dave Mirra Freestyle BMX 2,GBA,2001,Acclaim Entertainment,0.14,0.05,0
All-Star Baseball 2002,GC,2001,Acclaim Entertainment,0.17,0.04,0.01
Mortal Kombat II,SNES,1993,Acclaim Entertainment,1.48,0.39,0.06
NFL Quarterback Club 2002,PS2,2001,Acclaim Entertainment,0.11,0.08,0.03
Dave Mirra Freestyle BMX 2,XB,2001,Acclaim Entertainment,0.15,0.04,0.01
Bubsy 3D,PS,1996,Accolade,0.1,0.07,0.01
Big Air,PS,1999,Accolade,0.1,0.07,0.01
Test Drive 5,PS,1997,Accolade,1.05,0.2,0.05
Sengoku Musou 3 Z,PS3,2011,Ackkstudios,0,0,0
Winning Post 7 2012,PSP,2012,Ackkstudios,0,0,0
Winning Post 7 2012,PS3,2012,Ackkstudios,0,0,0
Dynasty Warriors Vs,3DS,2012,Ackkstudios,0,0,0
Sengoku Musou 3: Moushouden ,Wii,2011,Ackkstudios,0,0,0
Nobunaga no Yabou Online: Houou no Shou,PS3,2012,Ackkstudios,0,0,0
Sengoku Musou 3 Z Special,PSP,2012,Ackkstudios,0,0,0
Again,DS,2009,Ackkstudios,0.07,0,0
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,2012,Ackkstudios,0,0,0
Ken to Mahou to Gakuen Mono. 3D,3DS,2011,Acquire,0,0,0
Ken to Mahou to Gakuen Mono. 2G,PS3,2010,Acquire,0,0,0
Ken to Mahou to Gakuen Mono. 3,PSP,2010,Acquire,0,0,0
Akiba's Trip,PSP,2011,Acquire,0,0,0
Kamiwaza,PS2,2006,Acquire,0,0,0
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP,2011,Acquire,0,0,0
Wizardry Twin Pack,PS3,2011,Acquire,0,0,0
Akiba's Trip Plus,PSP,2012,Acquire,0,0,0
Ken to Mahou to Gakuen Mono. 3,PS3,2010,Acquire,0,0,0
Class of Heroes,PSP,2008,Acquire,0.06,0,0.01
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,2012,Acquire,0,0,0
Akiba's Trip: Undead & Undressed,PS4,2014,Acquire,0.08,0,0.02
Ken to Mahou to Gakuen Mono. 2,PSP,2009,Acquire,0,0,0
Barbie as The Island Princess,GBA,2007,Activision,0.16,0.06,0
Dancing With The Stars,Wii,2007,Activision,0.22,0,0.02
Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Activision,0.8,0.63,0.19
Hot Wheels: Beat That!,DS,2007,Activision,0.21,0,0.02
Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Activision,0.02,0,0
Cabela's Big Game Hunter 2005 Adventures,GC,2004,Activision,0.05,0.01,0
Tony Hawk's Proving Ground,DS,2007,Activision,0.2,0.01,0.02
Star Wars: Battlefront II,XB,2005,Activision,1.22,0.39,0.06
The Legend of Korra (3DS),3DS,2014,Activision,0.02,0,0
Lost Kingdoms II,GC,2003,Activision,0.04,0.01,0
Shrek the Third,PSP,2007,Activision,0.08,0.15,0.09
Destiny: The Taken King,PS4,2015,Activision,0.78,0.79,0.31
Barbie as The Island Princess,DS,2007,Activision,0.28,0.01,0.02
Spider-Man 3,PSP,2007,Activision,0.01,0.23,0.05
Prototype: Biohazard Bundle,XOne,2016,Activision,0.01,0,0
Spider-Man: Friend or Foe,X360,2007,Activision,0.26,0.01,0.02
Shrek the Third,Wii,2007,Activision,0.25,0.01,0.02
Shrek: Ogres & Dronkeys,DS,2007,Activision,0.26,0,0.02
World Series of Poker 2008: Battle for the Bracelets,PS2,2007,Activision,0.11,0.09,0.03
Bridge,2600,1980,Activision,0.25,0.02,0
Call of Duty: Black Ops 3,XOne,2015,Activision,4.59,2.11,0.68
Tony Hawk's Proving Ground,Wii,2007,Activision,0.22,0.01,0.02
Call of Duty: Black Ops 3,PS4,2015,Activision,6.03,5.86,2.38
The Amazing Spider-Man 2 (2014),PC,2014,Activision,0,0.01,0
Van Helsing,XB,2007,Activision,0.13,0.04,0.01
Monster Jam,PS2,2007,Activision,0.12,0.09,0.03
Kung-Fu Master,2600,1987,Activision,0.6,0.04,0.01
Barbie in The 12 Dancing Princesses,DS,2007,Activision,0.09,0.01,0.01
Call Of Duty 2: Big Red One,PS2,2005,Activision,1.48,0.92,0.26
Spider-Man 2: Enter: Electro,PS,2001,Activision,0.57,0.87,0.09
Transformer: Rise of the Dark Spark (3DS),3DS,2014,Activision,0.05,0.01,0.01
The History Channel: Battle for the Pacific,Wii,2007,Activision,0.1,0,0.01
Barbie as The Island Princess,PS2,2007,Activision,0.06,0.04,0.02
The Amazing Spider-Man 2 (2014),3DS,2014,Activision,0.03,0.03,0.01
Tony Hawk's Pro Skater 3,PS,2001,Activision,1.09,0.49,0.07
Monster Jam,DS,2007,Activision,0.12,0,0.01
Transformer: Rise of the Dark Spark,WiiU,2014,Activision,0.04,0.01,0.01
Hot Wheels: Beat That!,Wii,2007,Activision,0.13,0,0.01
Commando,2600,1987,Activision,0.44,0.02,0
Spider-Man: Friend or Foe,Wii,2007,Activision,0.13,0,0.01
Soldier of Fortune: Payback,PS3,2007,Activision,0.12,0.02,0.01
Cabela's Big Game Hunter: Pro Hunts,X360,2014,Activision,0.02,0,0
The Amazing Spider-Man 2 (2014),WiiU,2014,Activision,0.03,0.02,0
Star Wars: Starfighter,PS2,2001,Activision,0.61,0.87,0.26
Call of Duty 2,X360,2005,Activision,1.82,0.04,0.16
Dancing With The Stars,PS2,2007,Activision,0.08,0.06,0.02
Monster Jam,Wii,2007,Activision,0.15,0,0.01
Hot Wheels: Beat That!,X360,2007,Activision,0.15,0,0.01
Bee Movie Game,X360,2007,Activision,0.16,0,0.01
Cabela's Big Game Hunter: Pro Hunts,PS3,2014,Activision,0.03,0,0.01
Spider-Man: Friend or Foe,PSP,2007,Activision,0.16,0,0.01
Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Activision,0.04,0.01,0
Soldier of Fortune: Payback,X360,2007,Activision,0.18,0,0.02
The Voice,PS3,2014,Activision,0.02,0,0.01
Monster Jam,X360,2007,Activision,0.18,0,0.02
Call of Duty 4: Modern Warfare,DS,2007,Activision,0.95,0.01,0.08
Spider-Man 3,X360,2007,Activision,0.49,0.04,0.04
Skylanders: SuperChargers,X360,2015,Activision,0.25,0.13,0.04
Cabela's Big Game Hunter (2008),Wii,2007,Activision,0.58,0,0.05
Destiny: The Taken King,PS3,2015,Activision,0.17,0.11,0.06
Untold Legends: Brotherhood of the Blade,PSP,2005,Activision,0.54,0.33,0.22
Tony Hawk's Proving Ground,PS2,2007,Activision,0.55,0.02,0.09
Spider-Man 3,PS3,2007,Activision,0.26,0.29,0.11
Shrek the Third,X360,2007,Activision,0.54,0.09,0.06
Skylanders: SuperChargers,PS3,2015,Activision,0.16,0.15,0.06
Destiny: The Taken King,X360,2015,Activision,0.24,0.08,0.03
Madagascar,GBA,2005,Activision,0.62,0.24,0.03
Spider-Man 3,PS2,2007,Activision,0.74,0.03,0.12
Alter Ego,PC,1985,Activision,0,0.03,0.01
Star Wars Jedi Knight: Jedi Academy,PC,2003,Activision,0,0.03,0
Tony Hawk's Proving Ground,X360,2007,Activision,0.49,0.02,0.04
Call of Duty 4: Modern Warfare,PC,2007,Activision,0,1.12,0.03
Transformers: Autobots / Decepticons,DS,2007,Activision,1.12,0.02,0.09
Skylanders: SuperChargers,PS4,2015,Activision,0.17,0.08,0.05
Ghostbusters,2600,1985,Activision,0.42,0.03,0
Call of Duty: Roads to Victory,PSP,2007,Activision,0.52,1.02,0.59
Guitar Hero II,X360,2007,Activision,2.01,0.02,0.17
Guitar Hero III: Legends of Rock,PS3,2007,Activision,1.4,0.53,0.3
Deadpool,PS4,2015,Activision,0.14,0.11,0.05
Guitar Hero Live,PS3,2015,Activision,0.11,0.12,0.04
Call of Duty: Black Ops 3,PC,2015,Activision,0,0.25,0.01
Guardian's Crusade,PS,1998,Activision,0.07,0.05,0.01
World of Warcraft: The Burning Crusade,PC,2007,Activision,2.57,1.52,0
Skylanders: SuperChargers,XOne,2015,Activision,0.17,0.05,0.02
Guitar Hero III: Legends of Rock,X360,2007,Activision,3.19,0.91,0.42
Pitfall!,2600,1981,Activision,4.21,0.24,0.05
Call of Duty: Black Ops 3,PS3,2015,Activision,0.49,0.87,0.26
Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Activision,1.38,0.05,0.02
Bee Movie Game,Wii,2007,Activision,0.3,0.01,0.03
Cut the Rope,3DS,2014,Activision,0.06,0,0.01
Spider-Man: Friend or Foe,PS2,2007,Activision,0.31,0.01,0.05
The Lost Vikings,GBA,2003,Activision,0.04,0.01,0
Doom 3,XB,2005,Activision,0.85,0.43,0.06
Madagascar,PS2,2005,Activision,0.78,0.45,0.07
Destiny: The Taken King,XOne,2015,Activision,0.85,0.23,0.12
Guitar Hero Live,PS4,2015,Activision,0.34,0.38,0.14
Guitar Hero Live,XOne,2015,Activision,0.3,0.2,0.05
Hot Wheels: Beat That!,PS2,2007,Activision,0.2,0.15,0.05
Rock 'N Roll Racing,GBA,2003,Activision,0.03,0.01,0
Puppy Luv: Spa and Resort,DS,2007,Activision,0.4,0,0.03
Call of Duty: Black Ops 3,X360,2015,Activision,1.14,0.4,0.16
Tony Hawk's Proving Ground,PS3,2007,Activision,0.36,0.04,0.04
StarCraft II: Legacy of the Void,PC,2015,Activision,0.19,0.29,0.04
Bee Movie Game,DS,2007,Activision,0.41,0,0.03
Skylanders: SuperChargers,WiiU,2015,Activision,0.25,0.19,0.04
Barbie as The Island Princess,Wii,2007,Activision,0.42,0,0.03
Spider-Man 3,DS,2007,Activision,0.41,0.02,0.04
Spider-Man: Friend or Foe,DS,2007,Activision,0.43,0,0.04
Star Wars Episode III: Revenge of the Sith,XB,2005,Activision,0.82,0.38,0.04
Spider-Man 3,Wii,2007,Activision,0.42,0.02,0.04
Gun,PS2,2005,Activision,0.98,0.04,0.16
Shrek the Third,PS2,2007,Activision,0.4,0.02,0.07
Activision Anthology,GBA,2003,Activision,0.03,0.01,0
Call Of Duty 2: Big Red One,XB,2005,Activision,0.66,0.4,0.05
Kung Fu Panda,Wii,2008,Activision,0.5,0.32,0.09
Kung Fu Panda,PS3,2008,Activision,0.21,0.21,0.09
Call of Duty: Advanced Warfare,X360,2014,Activision,2.77,1.11,0.4
Ice Hockey,2600,1980,Activision,0.46,0.03,0.01
Destiny,XOne,2014,Activision,2.14,0.92,0.31
Barbie Horse Adventures: Riding Camp,DS,2008,Activision,0.5,0,0.04
Madagascar: Escape 2 Africa,Wii,2008,Activision,0.31,0.18,0.05
007: Quantum of Solace,Wii,2008,Activision,0.29,0.28,0.07
Kung Fu Panda,PS2,2008,Activision,0.24,0,0.41
Cabela's Big Game Hunter 2005 Adventures,GBA,2004,Activision,0.04,0.01,0
Madagascar: Escape 2 Africa,DS,2008,Activision,0.41,0.25,0.07
Destiny,X360,2014,Activision,1.31,0.43,0.18
Guitar Hero: Aerosmith,PS2,2008,Activision,0.61,0,0.18
Diablo III,PS4,2014,Activision,0.51,0.98,0.28
Destiny,PS3,2014,Activision,0.68,0.56,0.25
Call of Duty: World at War,DS,2008,Activision,0.56,0.25,0.08
Soldier of Fortune II: Double Helix,XB,2003,Activision,0.17,0.05,0.01
Skylanders: Trap Team,Wii,2014,Activision,0.41,0.46,0.08
MechWarrior 2: 31st Century Combat,PS,1997,Activision,0.2,0.14,0.02
Guitar Hero: Aerosmith,PS3,2008,Activision,0.73,0.15,0.11
LEGO Indiana Jones: The Original Adventures,PS3,2008,Activision,0.44,0.42,0.17
007: Quantum of Solace,PS3,2008,Activision,0.43,0.51,0.19
Guitar Hero: Aerosmith,X360,2008,Activision,1,0.13,0.1
Kung Fu Panda,DS,2008,Activision,0.56,0.56,0.14
Guitar Hero: Aerosmith,Wii,2008,Activision,1.03,0.14,0.1
World of Warcraft: Wrath of the Lich King,PC,2008,Activision,0.01,0.13,1.18
Freeway,2600,1980,Activision,0.32,0.02,0
007: Quantum of Solace,X360,2008,Activision,0.82,0.51,0.14
X2: Wolverine's Revenge,XB,2003,Activision,0.15,0.04,0.01
Skylanders: Trap Team,X360,2014,Activision,0.54,0.27,0.08
Guitar Hero: On Tour Decades,DS,2008,Activision,0.84,0.57,0.16
Boxing,2600,1980,Activision,0.72,0.04,0.01
Transformers: Dark of the Moon,PS3,2011,Activision,0.11,0.18,0.06
Madagascar: Escape 2 Africa,PS3,2008,Activision,0.12,0.08,0.03
Tony Hawk's Pro Skater,N64,2000,Activision,1.68,0.4,0.03
Shrek's Carnival Craze Party Games,DS,2008,Activision,0.22,0,0.02
Spider-Man: Web of Shadows,Wii,2008,Activision,0.22,0.01,0.02
Madagascar: Escape 2 Africa,X360,2008,Activision,0.12,0.1,0.03
Disney's Extreme Skate Adventure,PS2,2003,Activision,0.16,0.12,0.04
Spider-Man: Web of Shadows,PS3,2008,Activision,0.2,0.04,0.02
Disney's Extreme Skate Adventure,GBA,2003,Activision,0.2,0.08,0.01
Shrek's Carnival Craze Party Games,Wii,2008,Activision,0.28,0,0.02
Kaboom!,2600,1980,Activision,1.07,0.07,0.01
Teenage Mutant Ninja Turtles (3DS),3DS,2013,Activision,0.01,0,0
Tony Hawk's Pro Skater 2,N64,2001,Activision,0.59,0.16,0.01
Enemy Territory: Quake Wars,PS3,2008,Activision,0.23,0.07,0.04
Call of Duty: World at War Final Fronts,PS2,2008,Activision,0.61,0.18,0.94
Tony Hawk's Pro Skater 3,GC,2001,Activision,0.64,0.17,0.02
Dancing with the Stars: We Dance!,Wii,2008,Activision,0.35,0,0.03
Call of Duty: Advanced Warfare,PS4,2014,Activision,2.81,3.48,1.23
Madagascar: Escape 2 Africa,PS2,2008,Activision,0.12,0,0.26
Monster Jam: Urban Assault,DS,2008,Activision,0.36,0,0.03
Dancing with the Stars: We Dance!,DS,2008,Activision,0.36,0,0.03
Spider-Man: Web of Shadows,X360,2008,Activision,0.36,0.02,0.03
Monster Jam: Urban Assault,Wii,2008,Activision,0.38,0,0.03
Destiny,PS4,2014,Activision,2.49,2.07,0.92
Cabela's Legendary Adventures,PS2,2008,Activision,0.21,0.16,0.05
007: Quantum of Solace,PS2,2008,Activision,0.17,0,0.26
Call of Duty: Advanced Warfare,XOne,2014,Activision,3.22,1.55,0.48
Enemy Territory: Quake Wars,X360,2008,Activision,0.3,0.11,0.04
Call of Duty: Advanced Warfare,PS3,2014,Activision,1.56,1.93,0.68
River Raid II,2600,1988,Activision,0.47,0.03,0.01
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Activision,0.71,0.2,0.01
The Amazing Spider-Man 2 (2014),PS3,2014,Activision,0.06,0.14,0.04
Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Activision,0.11,0.09,0.04
The Amazing Spider-Man 2 (2014),X360,2014,Activision,0.1,0.11,0.02
The Amazing Spider-Man 2 (2014),XOne,2014,Activision,0.12,0.08,0.02
Transformer: Rise of the Dark Spark,PS4,2014,Activision,0.07,0.1,0.03
Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Activision,0.11,0.07,0.02
X2: Wolverine's Revenge,GC,2003,Activision,0.09,0.02,0
Supercar Street Challenge,PS2,2001,Activision,0.55,0.43,0.14
The History Channel: Battle for the Pacific,X360,2007,Activision,0.05,0,0
Disney's Extreme Skate Adventure,GC,2003,Activision,0.09,0.02,0
World Series of Poker 2008: Battle for the Bracelets,DS,2007,Activision,0.05,0,0
Disney's Extreme Skate Adventure,XB,2003,Activision,0.08,0.02,0
Rampage,2600,1988,Activision,0.22,0.01,0
Gladius,XB,2003,Activision,0.1,0.03,0
Tony Hawk's Pro Skater 2,GBA,2001,Activision,0.85,0.31,0.02
Magical Tetris Challenge,N64,1997,Activision,0.13,0.02,0
Transformer: Rise of the Dark Spark,X360,2014,Activision,0.09,0.06,0.01
Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,Activision,0.08,0.04,0.01
Transformer: Rise of the Dark Spark,PS3,2014,Activision,0.04,0.04,0.02
World Series of Poker 2008: Battle for the Bracelets,X360,2007,Activision,0.06,0.01,0.01
Transformer: Rise of the Dark Spark,XOne,2014,Activision,0.07,0.03,0.01
The Voice,WiiU,2014,Activision,0.08,0,0.01
World Series of Poker 2008: Battle for the Bracelets,PS3,2007,Activision,0.08,0.01,0.01
The Voice,X360,2014,Activision,0.07,0,0.01
Bee Movie Game,PS2,2007,Activision,0.05,0.04,0.01
Transformers: Devastation,PS4,2015,Activision,0.1,0.09,0.04
Hot Wheels Ultimate Racing,PSP,2007,Activision,0.09,0,0.01
Gladius,GC,2003,Activision,0.06,0.01,0
Monster Jam,PC,2007,Activision,0.01,0,0
Guitar Hero: World Tour,PS2,2008,Activision,1,0.03,0.77
Skylanders: Trap Team,WiiU,2014,Activision,0.38,0.26,0.06
Guitar Hero: World Tour,PS3,2008,Activision,1.1,0.55,0.27
